workclass,education,marital-status,occupation,relationship,sex,marital-status_index,workclass_index,relationship_index,occupation_index,education_index,sex_index
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Private,HS-grad,Never-married,Sales,Own-child,Female,1,0,2,4,0,1
?,HS-grad,Never-married,?,Own-child,Male,1,3,2,7,0,0
Private,Masters,Divorced,Sales,Not-in-family,Female,2,0,1,4,3,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,1,0,0
Private,HS-grad,Widowed,Prof-specialty,Not-in-family,Female,3,0,1,2,0,1
Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,Female,0,0,4,10,4,1
Self-emp-not-inc,10th,Never-married,Craft-repair,Own-child,Male,1,1,2,0,7,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,Male,0,1,0,4,8,0
Private,11th,Never-married,Sales,Own-child,Female,1,0,2,4,5,1
Private,11th,Never-married,Handlers-cleaners,Not-in-family,Male,1,0,1,9,5,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,7th-8th,Separated,Craft-repair,Not-in-family,Female,4,0,1,0,8,1
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,1,0,1,1,2,0
Federal-gov,Some-college,Divorced,Handlers-cleaners,Not-in-family,Male,2,6,1,9,1,0
Private,1st-4th,Never-married,Machine-op-inspct,Not-in-family,Male,1,0,1,6,13,0
?,HS-grad,Separated,?,Not-in-family,Female,4,3,1,7,0,1
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,0,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Self-emp-inc,HS-grad,Married-civ-spouse,Other-service,Husband,Male,0,5,0,5,0,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Local-gov,"",Married-civ-spouse,Other-service,Husband,Male,0,2,0,5,"",0
Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,6,1
State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,4,0,2,9,0
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
?,Some-college,Never-married,?,Own-child,Male,1,3,2,7,1,0
Self-emp-not-inc,11th,Married-civ-spouse,Transport-moving,Husband,Male,0,1,0,8,5,0
Private,HS-grad,Never-married,Other-service,Own-child,Male,1,0,2,5,0,0
Private,11th,Never-married,Other-service,Not-in-family,Male,1,0,1,5,5,0
Private,HS-grad,Divorced,Farming-fishing,Not-in-family,Male,2,0,1,11,0,0
Private,Some-college,Never-married,Sales,Unmarried,Male,1,0,3,4,1,0
State-gov,Masters,Divorced,Prof-specialty,Not-in-family,Male,2,4,1,2,3,0
Private,12th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,10,0
Private,HS-grad,Divorced,Craft-repair,Unmarried,Male,2,0,3,0,0,0
Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Female,2,6,3,3,1,1
Self-emp-not-inc,11th,Never-married,Craft-repair,Own-child,Male,1,1,2,0,5,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,4,1,2,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,10th,Separated,Other-service,Own-child,Female,4,0,2,5,7,1
Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,2,0,2,0,0
Private,Some-college,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,6,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Bachelors,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,2,0
State-gov,Some-college,Never-married,Craft-repair,Not-in-family,Female,1,4,1,0,1,1
State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,4,0,0,4,0
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,0,0
Private,12th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,10,0
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,9,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,7th-8th,Divorced,Sales,Not-in-family,Female,2,0,1,4,8,1
Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,Male,1,2,1,12,1,0
Private,Some-college,Divorced,Tech-support,Not-in-family,Female,2,0,1,10,1,1
Federal-gov,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Male,0,6,0,11,2,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,0,0
Private,Some-college,Divorced,Protective-serv,Unmarried,Female,2,0,3,12,1,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,Male,0,0,5,2,2,0
Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Own-child,Male,1,1,2,11,4,0
?,Doctorate,Married-civ-spouse,?,Husband,Male,0,3,0,7,11,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,4,0
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,0,1
Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,6,0
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,3,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Federal-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,2,6,3,2,2,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,0,0
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,0,1
?,HS-grad,Widowed,?,Unmarried,Male,3,3,3,7,0,0
Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,0,0,0,12,1,0
Private,Bachelors,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,2,0
Federal-gov,Some-college,Never-married,Handlers-cleaners,Own-child,Male,1,6,2,9,1,0
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Male,1,0,1,1,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Divorced,Farming-fishing,Not-in-family,Male,2,0,1,11,0,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Local-gov,11th,Never-married,Other-service,Not-in-family,Male,1,2,1,5,5,0
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,2,0
Private,HS-grad,Never-married,Prof-specialty,Unmarried,Female,1,0,3,2,0,1
Private,12th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,10,0
Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,Female,2,0,3,2,6,1
Private,HS-grad,Never-married,Other-service,Not-in-family,Male,1,0,1,5,0,0
Private,HS-grad,Separated,Transport-moving,Unmarried,Female,4,0,3,8,0,1
Private,Some-college,Never-married,Sales,Not-in-family,Male,1,0,1,4,1,0
Local-gov,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,3,2,1,1,0,1
?,Some-college,Divorced,?,Unmarried,Female,2,3,3,7,1,1
Private,HS-grad,Never-married,Other-service,Other-relative,Male,1,0,5,5,0,0
Private,HS-grad,Never-married,Exec-managerial,Other-relative,Female,1,0,5,1,0,1
State-gov,Masters,Never-married,Prof-specialty,Not-in-family,Female,1,4,1,2,3,1
Private,HS-grad,"",Craft-repair,Not-in-family,Male,"",0,1,0,0,0
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,3,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Wife,Female,0,1,4,11,1,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,11th,Never-married,Handlers-cleaners,Other-relative,Male,1,0,5,9,5,0
Private,12th,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,10,0
Private,11th,Widowed,Machine-op-inspct,Not-in-family,Female,3,0,1,6,5,1
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,2,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Some-college,Separated,Sales,Unmarried,Female,4,0,3,4,1,1
Local-gov,10th,Married-civ-spouse,Transport-moving,Husband,Male,0,2,0,8,7,0
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,0,0
Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,Female,3,1,1,0,0,1
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
?,Assoc-voc,Widowed,?,Not-in-family,Female,3,3,1,7,4,1
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Other-service,Wife,Female,0,1,4,5,4,1
?,Some-college,Never-married,?,Own-child,Male,1,3,2,7,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,2,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Private,HS-grad,Never-married,Other-service,Not-in-family,Female,1,0,1,5,0,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,Some-college,Never-married,Exec-managerial,Not-in-family,Female,1,0,1,1,1,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
?,Some-college,Never-married,?,Own-child,Female,1,3,2,7,1,1
Private,HS-grad,Never-married,Adm-clerical,Unmarried,Male,1,0,3,3,0,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,0,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,1,4,1,2,2,1
Private,HS-grad,Never-married,Sales,Own-child,Female,1,0,2,4,0,1
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,0,2,4,2,2,1
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,4,0
Local-gov,Some-college,Never-married,Other-service,Own-child,Female,1,2,2,5,1,1
Private,HS-grad,Never-married,Sales,Other-relative,Female,1,0,5,4,0,1
Private,Bachelors,Never-married,Prof-specialty,Own-child,Male,1,0,2,2,2,0
Private,Some-college,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,1,1
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,5,0,2,9,0
Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,9,0
?,Some-college,Never-married,?,Own-child,Male,1,3,2,7,1,0
?,HS-grad,Never-married,?,Unmarried,Male,1,3,3,7,0,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,11th,Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,5,0
Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,6,0
Self-emp-inc,HS-grad,Separated,Adm-clerical,Not-in-family,Male,4,5,1,3,0,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,2,1
State-gov,Some-college,Never-married,Adm-clerical,Own-child,Male,1,4,2,3,1,0
Private,10th,Divorced,Handlers-cleaners,Not-in-family,Female,2,0,1,9,7,1
Private,Assoc-voc,Never-married,Tech-support,Own-child,Female,1,0,2,10,4,1
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,1,0,1,3,0,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,Female,0,1,4,2,1,1
Local-gov,HS-grad,Never-married,Farming-fishing,Own-child,Male,1,2,2,11,0,0
Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Male,2,0,3,6,0,0
Local-gov,HS-grad,Never-married,Adm-clerical,Own-child,Male,1,2,2,3,0,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,HS-grad,Divorced,Transport-moving,Not-in-family,Male,2,0,1,8,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,10th,Never-married,Other-service,Not-in-family,Female,1,0,1,5,7,1
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,4,1
?,HS-grad,Never-married,?,Own-child,Male,1,3,2,7,0,0
Private,Bachelors,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,2,0
Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,2,0,3,3,0,1
Private,HS-grad,Divorced,Other-service,Unmarried,Female,2,0,3,5,0,1
Private,7th-8th,Widowed,Other-service,Not-in-family,Female,3,0,1,5,8,1
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,1,0
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Male,0,2,0,8,4,0
?,Bachelors,Married-civ-spouse,?,Husband,Male,0,3,0,7,2,0
Private,Some-college,Married-civ-spouse,Sales,Other-relative,Female,0,0,5,4,1,1
Self-emp-not-inc,10th,Widowed,Transport-moving,Unmarried,Male,3,1,3,8,7,0
Local-gov,Masters,Separated,Prof-specialty,Unmarried,Female,4,2,3,2,3,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,0,0
Private,Some-college,Never-married,Exec-managerial,Own-child,Female,1,0,2,1,1,1
Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,9,0
Private,Bachelors,Never-married,Handlers-cleaners,Own-child,Female,1,0,2,9,2,1
Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,2,0
Private,7th-8th,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,8,0
Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,1,0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,6,0,3,1,0
Private,Masters,Divorced,Transport-moving,Not-in-family,Male,2,0,1,8,3,0
Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,0,5,4,3,1,1
Private,Some-college,Married-civ-spouse,Craft-repair,Other-relative,Male,0,0,5,0,1,0
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Some-college,Never-married,Priv-house-serv,Not-in-family,Female,1,0,1,13,1,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,0,11,1,0
Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,0,0,0,12,0,0
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,9,0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,1,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,Some-college,Never-married,Handlers-cleaners,Own-child,Female,1,0,2,9,1,1
Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,0,1
?,12th,Never-married,?,Own-child,Male,1,3,2,7,10,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,0,0
Private,Some-college,Never-married,Other-service,Own-child,Female,1,0,2,5,1,1
Private,HS-grad,Never-married,Other-service,Not-in-family,Female,1,0,1,5,0,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,4,6,0,1
Private,Bachelors,Never-married,Adm-clerical,Unmarried,Male,1,0,3,3,2,0
Private,HS-grad,Divorced,Transport-moving,Not-in-family,Male,2,0,1,8,0,0
Self-emp-not-inc,Some-college,Never-married,Other-service,Not-in-family,Female,1,1,1,5,1,1
Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,1,6,1,2,2,0
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,2,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Some-college,Never-married,Craft-repair,Own-child,Male,1,0,2,0,1,0
Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,2,0
Private,10th,Divorced,Handlers-cleaners,Not-in-family,Female,2,0,1,9,7,1
Private,Assoc-acdm,Never-married,Sales,Own-child,Male,1,0,2,4,6,0
Private,11th,Never-married,Other-service,Own-child,Female,1,0,2,5,5,1
Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,6,0
Private,11th,Never-married,Sales,Unmarried,Female,1,0,3,4,5,1
?,Some-college,Married-civ-spouse,?,Husband,Male,0,3,0,7,1,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Private,11th,Divorced,Transport-moving,Not-in-family,Male,2,0,1,8,5,0
Private,Some-college,Never-married,Sales,Own-child,Female,1,0,2,4,1,1
Private,Some-college,Never-married,Other-service,Own-child,Male,1,0,2,5,1,0
Private,HS-grad,Separated,Sales,Unmarried,Female,4,0,3,4,0,1
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,3,1
Self-emp-not-inc,7th-8th,Married-civ-spouse,Other-service,Husband,Male,0,1,0,5,8,0
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,1,0
Self-emp-not-inc,12th,Never-married,Handlers-cleaners,Own-child,Male,1,1,2,9,10,0
State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Not-in-family,Male,0,4,1,2,11,0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,1,0
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,4,0
Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Female,2,0,1,1,2,1
Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,1,1
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,0,1
Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,4,0
Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,1,0
Local-gov,12th,Married-civ-spouse,Other-service,Husband,Male,0,2,0,5,10,0
?,7th-8th,Married-civ-spouse,?,Own-child,Male,0,3,2,7,8,0
Private,Some-college,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,1,1
Private,11th,Never-married,Other-service,Own-child,Female,1,0,2,5,5,1
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Male,1,0,1,9,0,0
?,Bachelors,Widowed,?,Not-in-family,Female,3,3,1,7,2,1
Private,Prof-school,Divorced,Prof-specialty,Unmarried,Female,2,0,3,2,9,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,1,0
Private,Bachelors,Separated,Prof-specialty,Unmarried,Female,4,0,3,2,2,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,1,0,4,0,0
Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,4,0
Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,Male,1,1,2,11,1,0
Private,12th,Never-married,Sales,Own-child,Female,1,0,2,4,10,1
Local-gov,Bachelors,Never-married,Protective-serv,Own-child,Male,1,2,2,12,2,0
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,HS-grad,Never-married,Sales,Unmarried,Female,1,0,3,4,0,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,1,1,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,0,0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,1,0
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,2,0
Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,0,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Wife,Female,0,1,4,0,7,1
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,3,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,0,0
Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,2,0,1,1,2,0
Private,Bachelors,"",Exec-managerial,Unmarried,Male,"",0,3,1,2,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,2,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Private,11th,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,5,0
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,1,0,1,6,0,1
Private,Some-college,Separated,Transport-moving,Not-in-family,Male,4,0,1,8,1,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,Prof-school,Divorced,Prof-specialty,Not-in-family,Female,2,0,1,2,9,1
Private,Bachelors,Never-married,Prof-specialty,Own-child,Female,1,0,2,2,2,1
State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,4,0,1,11,0
Private,1st-4th,Widowed,Prof-specialty,Unmarried,Female,3,0,3,2,13,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,4,6,0,1
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,5,0,0,0,0
Private,HS-grad,Separated,Craft-repair,Not-in-family,Male,4,0,1,0,0,0
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,3,0
Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,2,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,0,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,0,0
Private,HS-grad,Never-married,Transport-moving,Own-child,Male,1,0,2,8,0,0
Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,11,0
Private,Bachelors,Widowed,Other-service,Not-in-family,Male,3,0,1,5,2,0
Private,Bachelors,Divorced,Prof-specialty,Own-child,Female,2,0,2,2,2,1
Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,1,6,1,3,0,1
Private,10th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,7,0
Local-gov,Some-college,Divorced,Exec-managerial,Unmarried,Female,2,2,3,1,1,1
Local-gov,Assoc-acdm,Separated,Craft-repair,Not-in-family,Male,4,2,1,0,6,0
?,Some-college,Never-married,?,Own-child,Male,1,3,2,7,1,0
Private,11th,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,5,0
?,Some-college,Never-married,?,Own-child,Female,1,3,2,7,1,1
Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,2,4,3,0,1
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Masters,Separated,Prof-specialty,Not-in-family,Male,4,0,1,2,3,0
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,2,0
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Male,1,0,1,3,1,0
Private,10th,Never-married,Transport-moving,Unmarried,Male,1,0,3,8,7,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,0,1
Private,10th,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,7,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,0,0
Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Male,2,0,1,6,0,0
Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,2,2,3,2,2,1
Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Female,4,0,3,6,0,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,0,0
Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,0,1,4,2,3,1
Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,5,0,11,1,0
Private,HS-grad,Separated,Transport-moving,Unmarried,Male,4,0,3,8,0,0
State-gov,Some-college,Never-married,Other-service,Not-in-family,Female,1,4,1,5,1,1
Private,11th,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,5,0
?,HS-grad,Widowed,?,Unmarried,Male,3,3,3,7,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,0,0
Private,11th,"",Machine-op-inspct,Not-in-family,Male,"",0,1,6,5,0
Private,Some-college,Divorced,Adm-clerical,Unmarried,Female,2,0,3,3,1,1
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,0,0
?,5th-6th,Married-civ-spouse,?,Wife,Female,0,3,4,7,12,1
State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,4,0,1,1,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
